Codice Scuola;Classe;Sezione;Disciplina;Titolo;Autori;Editore;ISBN;Volume;Prezzo;Nuova Adozione;Da Acquistare;Consigliato
CZ1M00100B;1;A;GEOGRAFIA;SPAZI FUTURI + EBOOK;GIUDICI LORENZO  ;DEASCUOLA;9791255311904;1;;Sì;Sì;No
CZ1M00100B;1;A;ITALIANO;CHE SOGGETTO!;BORGHESIO GIULIA  MENZIO LUISA  ;PETRINI;9788849428872;U;;Sì;Sì;No
CZ1M00100B;1;A;ITALIANO;L'ISOLA DEI GIOVANI LETTORI - L'ISOLA DEI GIOVANI SCRITTORI;CORTI  BANDINI  CABRELLE - CASTAGNA FRANZINI ROSSATO - ZAFFARONI  MOROSINOTTO;GARZANTI SCUOLA;9788869646294;1;;No;Sì;No
CZ1M00100B;2;A;SCIENZE MOTORIE E SPORTIVE;LET'S MOVE - STAR BENE INSIEME - VOLUME+QUADERNO COMPETENZE+EBOOK;MONTEFORTE BIANCHI NICOLETTA - SPILIMBERGO GIANLUIGI ENEA - CHIESA ELISABETTA FIORINI G;MARIETTI SCUOLA;9788839303875;U;;No;No;No
CZ1M00100B;2;A;SECONDA LINGUA COMUNITARIA (SPAGNOLO);¡QUÉ ALEGRIA! - EDICIÓN COMPACTA;FANCIULLO NELLO - PEREZ ANA IRENE GARCIA - ALMARZA DURAN MABEL;LANG EDIZIONI;9788861619951;U;;No;No;No
CZ1M00100B;2;A;SCIENZE;VIAGGIO DEL BEAGLE (IL);PIETRA A - PEROTTI B ;LATTES;9788869175633;2;;No;Sì;No
CZ1M00100B;2;A;ITALIANO;L'ISOLA DEI GIOVANI LETTORI - L'ISOLA DEI GIOVANI SCRITTORI;CORTI  BANDINI  CABRELLE - CASTAGNA FRANZINI ROSSATO - ZAFFARONI  MOROSINOTTO;GARZANTI SCUOLA;9788869646294;1;;No;Sì;No
CZ1M00100B;2;A;RELIGIONE CATTOLICA/ATTIVITA' ALTERNATIVA;NUOVO CHE VITA (IL);DAL BIANCO DARIO - FIORINI NICOLA - MARANA ANTONIO;LA SPIGA;9788846841650;U;;No;No;No
CZ1M00100B;2;A;ARTE E IMMAGINE;ANTEPRIMA SULL'ARTE;LAZOTTI LUCIA - DE PADOVA MARIANNA ;BULGARINI;9788823434103;U;;No;No;No
CZ1M00100B;2;A;TECNOLOGIA;FUTURA - CORSO DI TECNOLOGIA - EDIZIONE LIGHT;A  DELPIANO - M  GIUSIANO - E  GOLDSCHMIDT;PARAVIA;9788839564375;U;;No;No;No
CZ1M00100B;2;A;LINGUA INGLESE;AND YOU? GREEN EDITION + EBOOK;TIMS N  SVED R  LINWOOD P  GUGLIELMINO D  ;PETRINI;9788849426540;2;;No;Sì;No
CZ1M00100B;2;A;MUSICA;ARMONIE + EBOOK;PAOLI R  MASCARI G  VENEZI  B  ;PETRINI;9788849425000;U;;No;No;No
CZ1M00100B;2;A;ITALIANO;GRAMMATICA METROPOLITANA + EBOOK;BORGHESIO GIULIA   MENZIO LUISA  ;PETRINI;9788849425055;U;;No;No;No
CZ1M00100B;2;A;STORIA;STORIA È PRESENTE+EBOOK (LA);PERSICO R GREPPI C  ;GARZANTI SCUOLA;9791254550281;2;;No;Sì;No
CZ1M00100B;2;A;GEOGRAFIA;GENERAZIONE GREEN;GIUDICI LORENZO  ;DE AGOSTINI;9788851160135;2;;No;Sì;No
CZ1M00100B;2;A;MATEMATICA;OPEN MATH - EDIZIONE TEMATICA+EBOOK;MONTEMURRO A  BOMBARDELLI E  DALLA TORRE G  ;DEASCUOLA;9791255312222;2;;No;Sì;No
CZ1M00100B;3;A;ITALIANO;L'ISOLA DEI GIOVANI LETTORI - L'ISOLA DEI GIOVANI SCRITTORI;CORTI  BANDINI  CABRELLE - CASTAGNA FRANZINI ROSSATO - ZAFFARONI  MOROSINOTTO;GARZANTI SCUOLA;9788869646355;3;;No;Sì;No
CZ1M00100B;3;A;RELIGIONE CATTOLICA/ATTIVITA' ALTERNATIVA;NUOVO CHE VITA (IL);DAL BIANCO DARIO - FIORINI NICOLA - MARANA ANTONIO;LA SPIGA;9788846841650;U;;No;No;No
CZ1M00100B;3;A;LINGUA INGLESE;NEXT CHALLENGE 3;AA VV  ;ELI;9788853635419;3;;No;Sì;No
CZ1M00100B;3;A;SCIENZE MOTORIE E SPORTIVE;LET'S MOVE - STAR BENE INSIEME - VOLUME+QUADERNO COMPETENZE+EBOOK;MONTEFORTE BIANCHI NICOLETTA - SPILIMBERGO GIANLUIGI ENEA - CHIESA ELISABETTA FIORINI G;MARIETTI SCUOLA;9788839303875;U;;No;No;No
CZ1M00100B;3;A;MUSICA;ARMONIE + EBOOK;PAOLI R  MASCARI G  VENEZI  B  ;PETRINI;9788849425000;U;;No;No;No
CZ1M00100B;3;A;ARTE E IMMAGINE;ARTELIER;AA VV  ;TRECCANI GIUNTI TVP;9788809889880;U;;No;Sì;No
CZ1M00100B;3;A;ITALIANO;GRAMMATICA METROPOLITANA + EBOOK;BORGHESIO GIULIA   MENZIO LUISA  ;PETRINI;9788849425055;U;;No;No;No
CZ1M00100B;3;A;SCIENZE;VIAGGIO DEL BEAGLE (IL);PIETRA A - PEROTTI B ;LATTES;9788869175640;3;;No;Sì;No
CZ1M00100B;3;A;MATEMATICA;TUTTO CHIARO! - EDIZIONE TEMATICA;MONTEMURRO ANNA  ;DE AGOSTINI;9788851160470;3;;No;Sì;No
CZ1M00100B;3;A;GEOGRAFIA;GENERAZIONE GREEN;GIUDICI LORENZO  ;DE AGOSTINI;9788851160142;3;;No;Sì;No
CZ1M00100B;3;A;TECNOLOGIA;NEXT - TECNOLOGIE + DISEGNO + QUADERNO DELLE COMPET.+ EBOOK;FERRARESSO ANDREA - COLOMBINI ENRICO - SARDO GIUSEPPE SCALZULLO LUCA;DE AGOSTINI;9788851159399;U;;No;No;No
CZ1M00100B;3;A;SECONDA LINGUA COMUNITARIA (SPAGNOLO);¡SIMPLEMENTE DIVERTIDO! VOLUME 3 + EBOOK + NUOVO ESAME DI STATO;RAMOS CATALINA - SANTOS MARIA JOSE - SANTOS MERCEDES;DE AGOSTINI;9788851158750;3;;No;Sì;No
CZ1M00100B;3;A;STORIA;STORIA È PRESENTE+EBOOK (LA);PERSICO R GREPPI C  ;GARZANTI SCUOLA;9791254550298;3;;No;Sì;No
CZ1M002007;1;A;STORIA;LUCI SULLA STORIA 1;M  MORPURGO - A  MARZOMAGNO - F  BARGIGIA;B.MONDADORI;9788869106934;1;;No;Sì;No
CZ1M002007;1;A;SCIENZE;NATURA FUTURA - 1;GIANFRANCO BO - SILVIA DEQUINO ;PEARSON SCIENCE;9788891917331;1;;No;Sì;No
CZ1M002007;1;A;SECONDA LINGUA COMUNITARIA (SPAGNOLO);MI BANDA 1;N  FANCIULLO - S  CAMPOS - A I  GARCIA;LANG EDIZIONI;9788861616820;1;;No;Sì;No
CZ1M002007;1;A;SCIENZE MOTORIE E SPORTIVE;LET'S MOVE - STAR BENE INSIEME - VOLUME + EBOOK;MONTEFORTE BIANCHI NICOLETTA - SPILIMBERGO GIANLUIGI ENEA - CHIESA ELISABETTA FIORINI G;MARIETTI SCUOLA;9788839303882;U;;No;Sì;No
CZ1M002007;1;A;ITALIANO;L'AVVENTURA PIù GRANDE 1;L  CAVADINI - L  DE MARTIN - A  PIANIGIANI;B.MONDADORI;9788869108396;1;;No;Sì;No
CZ1M002007;1;A;ARTE E IMMAGINE;L'ARTE RACCONTA - ED. COMPATTA;AA VV  ;PARAVIA;9788839535382;U;;No;Sì;No
CZ1M002007;1;A;RELIGIONE CATTOLICA/ATTIVITA' ALTERNATIVA;RELIMAKER 1+CON OCCHI DIVERSI;PAOLINI LUCA - PANDOLFI BARBARA ;SEI;9788805078646;1;;No;Sì;No
CZ1M002007;1;A;MUSICA;MUSICA NEL CUORE PLATINUM-VOL.A+EASY B(SU DVD)+EBOOK+VOL.B+EASY EB(SU DVD)+EB;LEONE LUCIANO - PAOLI ROBERTO PANZA VITTORIO - FERRARIN FABRIZIO;PETRINI;9788849423600;U;;No;Sì;No
CZ1M002007;1;A;MATEMATICA;ELLEQUADRO VOLUME 1;VACCA ROBERTO - ARTUSO BRUNO - BEZZI CLAUDIA;ATLAS;9788826823911;1;;No;Sì;No
CZ1M002007;1;A;LINGUA INGLESE;MY ROUTE - VOLUME 1 (LDM);DOOLEY JENNY  ;ZANICHELLI EDITORE;9788808799746;1;;No;Sì;No
CZ1M002007;1;A;GEOGRAFIA;GIRO DEL MONDO 1 (IL);GRIGUOLO CARLO - BRAMBILLA STEFANO ;PARAVIA;9788839564139;1;;Sì;Sì;No
CZ1M002007;1;A;ITALIANO;LA MATITA VERDE - PACK;L  SERIANNI - G  PATOTA - V  DELLA VALLE;B.MONDADORI;9788869108921;U;;Sì;Sì;No
CZ1M002007;1;A;TECNOLOGIA;INFINITO TECNOLOGICO;BETTO DAVIDE EMANUELE  ;LATTES;9788869177286;U;;Sì;Sì;No
CZ1M002007;2;A;STORIA;LUCI SULLA STORIA 2;M  MORPURGO - A  MARZOMAGNO - F  BARGIGIA;B.MONDADORI;9788869106941;2;;No;Sì;No
CZ1M002007;2;A;RELIGIONE CATTOLICA/ATTIVITA' ALTERNATIVA;RELIMAKER 2;PAOLINI LUCA - PANDOLFI BARBARA ;SEI;9788805078660;2;;No;Sì;No
CZ1M002007;2;A;SCIENZE;NATURA FUTURA - 2;GIANFRANCO BO - SILVIA DEQUINO ;PEARSON SCIENCE;9788891917348;2;;No;Sì;No
CZ1M002007;2;A;LINGUA INGLESE;MY ROUTE - VOLUME 2 (LDM);DOOLEY JENNY  ;ZANICHELLI EDITORE;9788808721679;2;;No;Sì;No
CZ1M002007;2;A;SCIENZE MOTORIE E SPORTIVE;LET'S MOVE - STAR BENE INSIEME - VOLUME + EBOOK;MONTEFORTE BIANCHI NICOLETTA - SPILIMBERGO GIANLUIGI ENEA - CHIESA ELISABETTA FIORINI G;MARIETTI SCUOLA;9788839303882;U;;No;No;No
CZ1M002007;2;A;MATEMATICA;ELLEQUADRO VOLUME 2;VACCA ROBERTO - ARTUSO BRUNO - BEZZI CLAUDIA;ATLAS;9788826823928;2;;No;Sì;No
CZ1M002007;2;A;SECONDA LINGUA COMUNITARIA (SPAGNOLO);MI BANDA 2;N  FANCIULLO - S  CAMPOS - A I  GARCIA;LANG EDIZIONI;9788861616882;2;;No;Sì;No
CZ1M002007;2;A;MUSICA;MUSICA NEL CUORE PLATINUM-VOL.A+EASY B(SU DVD)+EBOOK+VOL.B+EASY EB(SU DVD)+EB;LEONE LUCIANO - PAOLI ROBERTO PANZA VITTORIO - FERRARIN FABRIZIO;PETRINI;9788849423600;U;;No;No;No
CZ1M002007;2;A;TECNOLOGIA;TECNO.EDU. DISEGNO + MATERIALI + ESERCITAZIONI + CODING;PINOTTI ANNIBALE  ;ATLAS;9788826822617;U;;No;No;No
CZ1M002007;2;A;ITALIANO;L'AVVENTURA PIù GRANDE 2;L  CAVADINI - L  DE MARTIN - A  PIANIGIANI;B.MONDADORI;9788869108402;2;;No;Sì;No
CZ1M002007;2;A;ITALIANO;GRAMMATICA METROPOLITANA + EBOOK;BORGHESIO GIULIA   MENZIO LUISA  ;PETRINI;9788849425055;U;;No;No;No
CZ1M002007;2;A;GEOGRAFIA;#IOVIAGGIO 2;G  CORBELLINI  ;B.MONDADORI;9788869105630;2;;No;Sì;No
CZ1M002007;2;A;ARTE E IMMAGINE;L'ARTE RACCONTA - ED. COMPATTA;AA VV  ;PARAVIA;9788839535382;U;;No;No;No
CZ1M002007;3;A;RELIGIONE CATTOLICA/ATTIVITA' ALTERNATIVA;RELIMAKER 3;PAOLINI LUCA - PANDOLFI BARBARA ;SEI;9788805078677;3;;No;Sì;No
CZ1M002007;3;A;MATEMATICA;ELLEQUADRO VOLUME 3;VACCA ROBERTO - ARTUSO BRUNO - BEZZI CLAUDIA;ATLAS;9788826823935;3;;No;Sì;No
CZ1M002007;3;A;ITALIANO;GRAMMATICA METROPOLITANA + EBOOK;BORGHESIO GIULIA   MENZIO LUISA  ;PETRINI;9788849425055;U;;No;No;No
CZ1M002007;3;A;STORIA;LUCI SULLA STORIA 3;M  MORPURGO - A  MARZOMAGNO - F  BARGIGIA;B.MONDADORI;9788869106958;3;;No;Sì;No
CZ1M002007;3;A;MUSICA;MUSICA NEL CUORE PLATINUM-VOL.A+EASY B(SU DVD)+EBOOK+VOL.B+EASY EB(SU DVD)+EB;LEONE LUCIANO - PAOLI ROBERTO PANZA VITTORIO - FERRARIN FABRIZIO;PETRINI;9788849423600;U;;No;No;No
CZ1M002007;3;A;SCIENZE MOTORIE E SPORTIVE;LET'S MOVE - STAR BENE INSIEME - VOLUME + EBOOK;MONTEFORTE BIANCHI NICOLETTA - SPILIMBERGO GIANLUIGI ENEA - CHIESA ELISABETTA FIORINI G;MARIETTI SCUOLA;9788839303882;U;;No;No;No
CZ1M002007;3;A;SECONDA LINGUA COMUNITARIA (SPAGNOLO);MI BANDA 3;N  FANCIULLO - S  CAMPOS - A I  GARCIA;LANG EDIZIONI;9788861616899;3;;No;Sì;No
CZ1M002007;3;A;SCIENZE;NATURA FUTURA - 3;GIANFRANCO BO - SILVIA DEQUINO ;PEARSON SCIENCE;9788891917355;3;;No;Sì;No
CZ1M002007;3;A;ARTE E IMMAGINE;L'ARTE RACCONTA - ED. COMPATTA;AA VV  ;PARAVIA;9788839535382;U;;No;No;No
CZ1M002007;3;A;TECNOLOGIA;TECNO.EDU. DISEGNO + MATERIALI + ESERCITAZIONI + CODING;PINOTTI ANNIBALE  ;ATLAS;9788826822617;U;;No;No;No
CZ1M002007;3;A;ITALIANO;L'AVVENTURA PIù GRANDE 3;L  CAVADINI - L  DE MARTIN - A  PIANIGIANI;B.MONDADORI;9788869108419;3;;No;Sì;No
CZ1M002007;3;A;GEOGRAFIA;#IOVIAGGIO 3;G  CORBELLINI  ;B.MONDADORI;9788869105647;3;;No;Sì;No
CZ1M002007;3;A;LINGUA INGLESE;MY ROUTE - VOLUME 3 (LDM);DOOLEY JENNY  ;ZANICHELLI EDITORE;9788808545480;3;;No;No;No
CZ1MBR5002;1;U;STORIA;NEL GRANDE GIOCO 1+30 LEZIONI ED.CIVICA +ST. PER LEGGERE ST. PER IMMAGINARE 1;NECCI ALESSANDRA - JACOMUZZI ULISSE - MONTANARO GIORGIO;SEI;9788805079766;1;;No;Sì;No
CZ1MBR5002;1;U;MUSICA;PRIMA LA MUSICA! SECONDA EDIZIONE;CAMPOGRANDE NICOLA  ;LATTES;9788869177545;U;;Sì;No;Sì
CZ1MBR5002;1;U;TECNOLOGIA;INFINITO TECNOLOGICO;BETTO DAVIDE EMANUELE  ;LATTES;9788869177064;U;;No;Sì;No
CZ1MBR5002;1;U;ITALIANO;A NOI LA PAROLA! UNICO + QUADERNO ATTIVO + COMUNICAZIONE;DOLCINI GIOVANNA  ;RAFFAELLO;9788847242647;U;;No;Sì;No
CZ1MBR5002;1;U;ARTE E IMMAGINE;SGUARDI;RINALDI MARIA FEDERICA - BOCCHINO GARBERO ERIKA IRENE ;LATTES;9788869176111;U;;No;Sì;No
CZ1MBR5002;1;U;MATEMATICA;TUTTO CHIARO! - EDIZIONE CURRICOLARE;MONTEMURRO ANNA  ;DE AGOSTINI;9788851160388;1;;No;Sì;No
CZ1MBR5002;1;U;ITALIANO;MILLESTORIE PLUS;LAVAZZA ENRICA - ACANFORA MARIA - FRABONI SILVIA;LATTES;9788869176388;1;;No;Sì;No
CZ1MBR5002;1;U;RELIGIONE CATTOLICA/ATTIVITA' ALTERNATIVA;TEMPI INCONTRO 1 + OFFICINA EMOZIONI + VANGELI ATTI (DI);MAZZANTINI MARIA ANGELA  ;RAFFAELLO;9788847239791;1;;No;No;Sì
CZ1MBR5002;1;U;SECONDA LINGUA COMUNITARIA (SPAGNOLO);VOY CONTIGO! V.1+CUAD+CDMP3;SALVAGGIO - MAISTO - CORTAZAR;LOESCHER EDITORE;9788858328903;1;;No;Sì;No
CZ1MBR5002;1;U;LINGUA INGLESE;FOLLOW ME!;PISAPIA  ARIANNA  ;ELLEPIESSE EDIZIONI;9788894932201;U;;Sì;No;Sì
CZ1MBR5002;1;U;SCIENZE;ECO SCIENZE DA SCOPRIRE  1;NEGRINO B  ;IL CAPITELLO;9788842655305;1;;Sì;Sì;No
CZ1MBR5002;1;U;GEOGRAFIA;ARAL NEXT;PORINO G  ;LATTES;9788869177514;1;;Sì;Sì;No
CZ1MBR5002;1;U;LINGUA INGLESE;GO FOR IT 1;KENNEDY CLARE - SNELLING RHONA - FOODY ELIZABETH;CAMBRIDGE-LOESCHER;9788884330604;1;;Sì;Sì;No
CZ1MBR5002;1;U;SCIENZE MOTORIE E SPORTIVE;GYM - CORPO SPORT SALUTE;GOTTIN MAURIZIO - DEGANI ENRICO ;SEI;9788805079667;U;;No;No;Sì
CZ1MBR5002;2;U;ITALIANO;MILLESTORIE;LAVAZZA ENRICA - ACANFORA MARIA - FRABONI SILVIA;LATTES;9788869176241;2;;Sì;Sì;No
CZ1MBR5002;2;U;LINGUA INGLESE;GO FOR IT 2;KENNEDY CLARE - SNELLING RHONA - FOODY ELIZABETH;CAMBRIDGE-LOESCHER;9788884330611;2;;Sì;Sì;No
CZ1MBR5002;2;U;STORIA;NEL GRANDE GIOCO 2;NECCI ALESSANDRA - JACOMUZZI ULISSE - MONTANARO GIORGIO;SEI;9788805080106;2;;Sì;Sì;No
CZ1MBR5002;2;U;TECNOLOGIA;INFINITO TECNOLOGICO;BETTO DAVIDE EMANUELE  ;LATTES;9788869177064;U;;No;No;No
CZ1MBR5002;2;U;MUSICA;ARMONIE - VERSIONE EBOOK;PAOLI R  MASCARI G  VENEZI  B  ;PETRINI;9788849469639;U;;No;No;Sì
CZ1MBR5002;2;U;ARTE E IMMAGINE;SGUARDI;RINALDI MARIA FEDERICA - BOCCHINO GARBERO ERIKA IRENE ;LATTES;9788869176111;U;;No;No;No
CZ1MBR5002;2;U;ITALIANO;A NOI LA PAROLA! UNICO + QUADERNO ATTIVO + COMUNICAZIONE;DOLCINI GIOVANNA  ;RAFFAELLO;9788847242647;U;;No;No;Sì
CZ1MBR5002;2;U;SECONDA LINGUA COMUNITARIA (SPAGNOLO);VOY CONTIGO! V.2+CUAD+CDMP3;SALVAGGIO - MAISTO - CORTAZAR;LOESCHER EDITORE;9788858328910;2;;No;No;Sì
CZ1MBR5002;2;U;SCIENZE;BRAIN;CARLINI RICCARDO - PENTIMALLI RAFFAELE - VIAGGI CHIARA DONATELLA;LATTES;9788869177040;2;;No;Sì;No
CZ1MBR5002;2;U;MATEMATICA;TUTTO CHIARO! - EDIZIONE CURRICOLARE;MONTEMURRO ANNA  ;DE AGOSTINI;9788851160388;1;;No;Sì;No
CZ1MBR5002;2;U;GEOGRAFIA;ARAL NEXT;PORINO G  ;LATTES;9788869177521;2;;Sì;Sì;No
CZ1MBR5002;2;U;SCIENZE MOTORIE E SPORTIVE;GYM - CORPO SPORT SALUTE;GOTTIN MAURIZIO - DEGANI ENRICO ;SEI;9788805079667;U;;No;No;Sì
CZ1MBR5002;2;U;LINGUA INGLESE;FOLLOW ME!;PISAPIA  ARIANNA  ;ELLEPIESSE EDIZIONI;9788894932201;U;;No;No;Sì
CZ1MBR5002;2;U;STORIA;NEL GRANDE GIOCO 2  +STORIE PER LEGGERE ST. PER IMMAGINARE 2;NECCI ALESSANDRA - JACOMUZZI ULISSE - MONTANARO GIORGIO;SEI;9788805261154;2;;No;No;Sì
CZ1MBR5002;2;U;ITALIANO;MILLESTORIE;LAVAZZA ENRICA - ACANFORA MARIA - FRABONI SILVIA;LATTES;9788869176272;U;;No;No;Sì
CZ1MBR5002;2;U;RELIGIONE CATTOLICA/ATTIVITA' ALTERNATIVA;TEMPI INCONTRO VOLUME UNICO + OFFICINA EMOZIONI  (DI);MAZZANTINI MARIA ANGELA  ;RAFFAELLO;9788847239715;U;;No;No;Sì
CZ1MBR5002;3;U;GEOGRAFIA;ARAL NEXT;PORINO G  ;LATTES;9788869177538;3;;Sì;Sì;No
CZ1MBR5002;3;U;ARTE E IMMAGINE;SPAZIO ARTE A + B + ALBUM DISEGNO;CRISTIANI CLAUDIO - FRANCUCCI CRISTIANA - MARIANI MARIA ISABELLA;RAFFAELLO;9788847239616;U;;No;No;No
CZ1MBR5002;3;U;ITALIANO;MILLESTORIE;LAVAZZA ENRICA - ACANFORA MARIA - FRABONI SILVIA;LATTES;9788869176289;U;;No;No;Sì
CZ1MBR5002;3;U;LINGUA INGLESE;GO FOR IT 3;KENNEDY CLARE - SNELLING RHONA - FOODY ELIZABETH;CAMBRIDGE-LOESCHER;9788884330628;3;;Sì;Sì;No
CZ1MBR5002;3;U;LINGUA INGLESE;FOLLOW ME!;PISAPIA  ARIANNA  ;ELLEPIESSE EDIZIONI;9788894932201;U;;No;No;Sì
CZ1MBR5002;3;U;MATEMATICA;TUTTO CHIARO! - EDIZIONE CURRICOLARE;MONTEMURRO ANNA  ;DE AGOSTINI;9788851160401;3;;No;Sì;No
CZ1MBR5002;3;U;SCIENZE MOTORIE E SPORTIVE;GYM - CORPO SPORT SALUTE;GOTTIN MAURIZIO - DEGANI ENRICO ;SEI;9788805079667;U;;No;No;Sì
CZ1MBR5002;3;U;RELIGIONE CATTOLICA/ATTIVITA' ALTERNATIVA;TEMPI INCONTRO VOLUME UNICO + OFFICINA EMOZIONI  (DI);MAZZANTINI MARIA ANGELA  ;RAFFAELLO;9788847239715;U;;No;No;Sì
CZ1MBR5002;3;U;TECNOLOGIA;TECHNOPASS TECNOLOGIA+DISEGNO+TAVOLE+COMPETENZE+DOMANDE E RISPOSTE;FURCI FRANCESCO - POZZI ELISABETTA ;RAFFAELLO;9788847235298;U;;No;No;No
CZ1MBR5002;3;U;ITALIANO;A NOI LA PAROLA! UNICO + QUADERNO ATTIVO + COMUNICAZIONE;DOLCINI GIOVANNA  ;RAFFAELLO;9788847242647;U;;No;No;Sì
CZ1MBR5002;3;U;SECONDA LINGUA COMUNITARIA (SPAGNOLO);VOY CONTIGO! V.2+CUAD+CDMP3;SALVAGGIO - MAISTO - CORTAZAR;LOESCHER EDITORE;9788858328910;2;;No;No;Sì
CZ1MBR5002;3;U;SCIENZE;BRAIN;CARLINI RICCARDO - PENTIMALLI RAFFAELE - VIAGGI CHIARA DONATELLA;LATTES;9788869177057;3;;No;Sì;No
CZ1MBR5002;3;U;STORIA;NEL GRANDE GIOCO 3+ PERC. ESAME STATO+ST. PER LEGGERE ST. PER IMMAGINARE 3;NECCI ALESSANDRA - JACOMUZZI ULISSE - MONTANARO GIORGIO;SEI;9788805261178;3;;No;No;Sì
CZ1MBR5002;3;U;ITALIANO;MILLESTORIE;LAVAZZA ENRICA - ACANFORA MARIA - FRABONI SILVIA;LATTES;9788869176258;3;;Sì;Sì;No
CZ1MBR5002;3;U;STORIA;NEL GRANDE GIOCO 3+PERCORSI PER L'ESAME DI STATO;NECCI ALESSANDRA - JACOMUZZI ULISSE - MONTANARO GIORGIO;SEI;9788805080113;3;;Sì;Sì;No
CZ1MBR5002;3;U;MUSICA;ARMONIE - VERSIONE EBOOK;PAOLI R  MASCARI G  VENEZI  B  ;PETRINI;9788849469639;U;;No;No;Sì
CZMM00300E;1;A;ITALIANO;PAROLE E TESTI IN GIOCO 2ED - CONFEZIONE A + QUADERNO (LDM);SERAFINI TERESA - FORNILI FLAVIA ;ZANICHELLI EDITORE;9788808420282;1;;No;Sì;No
CZMM00300E;1;A;ITALIANO;GRANDE GIOCO DELLE STORIE + EBOOK (IL);CORTI A  BANDINI A  CABRELLE A  CASTAGNA M - FRANZINI M  ROSSATO A  TRULLI S - ZAFFARONI P  MOROSINOTTO D;GARZANTI SCUOLA;9791254550915;1;;No;Sì;No
CZMM00300E;1;A;LINGUA INGLESE;MY ROUTE - VOLUME 1 (LDM);DOOLEY JENNY  ;ZANICHELLI EDITORE;9788808799746;1;;No;Sì;No
CZMM00300E;1;A;LINGUA INGLESE;WITHOUT BARRIERS;DI SCANNO SERGIO  ;MEDUSA EDITRICE;9788864322407;U;;No;No;Sì
CZMM00300E;1;A;STORIA;EVENTI, NARRAZIONE, STORIA VOLUME 1 + STRUMENTI PER UNA DIDATTICA INCLUSIVA;CAPORALE E - CAROTTI E - SALICE G;GARZANTI SCUOLA;9788869645129;1;;No;Sì;No
CZMM00300E;1;A;GEOGRAFIA;GEOAGENDA EDIZIONE ROSSA - VOLUME 1 CON LE REGIONI ITALIANE (LDM);TONDELLI CARLA  ;ZANICHELLI EDITORE;9788808431813;1;;No;Sì;No
CZMM00300E;1;A;MATEMATICA;OPEN MATH - EDIZIONE CURRICOLARE+EBOOK;MONTEMURRO A  BOMBARDELLI E  DALLA TORRE G  ;DEASCUOLA;9791255312314;1;;No;Sì;No
CZMM00300E;1;A;SCIENZE;OSSERVARE E CAPIRE LE SCIENZE 2ED. - VOLUME 1 (LDM);SARACENI SILVIA - STRUMIA GIORGIO ;ZANICHELLI EDITORE;9788808753335;1;;Sì;Sì;No
CZMM00300E;1;A;TECNOLOGIA;INFINITO TECNOLOGICO;BETTO DAVIDE EMANUELE  ;LATTES;9788869177064;U;;No;Sì;No
CZMM00300E;1;A;ARTE E IMMAGINE;SGUARDI;RINALDI MARIA FEDERICA - BOCCHINO GARBERO ERIKA IRENE ;LATTES;9788869176111;U;;No;Sì;No
